rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams
119,"spotify:track:1XnPRxd67vVxzBCiGLXLxw","Niska","Giuseppe","Universal Music Division Capitol Music France",5,115,153,"46276"
120,"spotify:track:5ry2OE6R2zPQFDO85XkgRb","Drake, Rick Ross","Money In The Grave (Drake ft. Rick Ross)","Republic Records",111,129,46,"46215"
121,"spotify:track:4LAGHmHcSt0HHwXCJcFri6","PNL","91's","QLF Records",1,122,356,"45990"
122,"spotify:track:67bPDXCsUNsxyNnNg3jYGO","Nekfeu","Alunissons","Universal Music Division Polydor",4,118,56,"45895"
123,"spotify:track:4RPvjl3IcvOigNqrrpCmZa","RK","Cataleya","3.5.7 Music",31,116,118,"45875"
124,"spotify:track:186HAeS1KdqhztQLq85C24","Eva, Lartiste","On Fleek","Universal Music Distribution Deal",5,120,191,"45673"
125,"spotify:track:35e7ckbWgHjHI9n3oL6jnd","Roméo Elvis","Malade","Universal Music Division Island Def Jam",7,128,157,"45405"
126,"spotify:track:2KtpMkc1TS1FMwy9FR0gCM","Kpoint, Ninho","Ma 6t a craqué (feat. Ninho)","Rec. 118 / 432 Inc",2,132,367,"45382"
127,"spotify:track:0RTvfKVdkt10ATfJ8BjMEI","Rim'K, Ninho","Air Max","Universal Music Division Virgin Records Distribution Deal",1,125,372,"45246"
128,"spotify:track:3yndKI4zWEyC36BQYrdKBA","Therapie TAXI, Roméo Elvis","Hit Sale (feat. Roméo Elvis)","Panenka Music",11,126,546,"45110"
129,"spotify:track:6i11N9wP7qyB34UiRJux3G","Booba","FREESTYLE PIRATE","Tallac Records",37,124,15,"44943"
130,"spotify:track:5gNZjp6r2TfC3uh9iopWxt","Ninho","Paris c'est magique","Rec. 118 / Mal Luné Music",6,131,133,"44213"
131,"spotify:track:6e7d2cSCiKESCPOyWsiQeT","Jul","Salvatrucha","D'Or et de Platine",9,127,48,"43918"
132,"spotify:track:1RE1SDPjuilKM6tLIMxTtP","Shotas, Koba LaD","LVC","Universal Music Distribution Deal",130,130,25,"43865"
133,"spotify:track:38Eq6RgIxOdt4twqyVAPCn","Booba","PGP","Tallac Records",1,140,185,"43829"
134,"spotify:track:3WhT3S5OGTSTBmTTmkjhqi","Alkpote, Kaaris","Nautilus (feat. Kaaris)","Arista France",61,123,28,"43683"
135,"spotify:track:5itOtNx0WxtJmi1TQ3RuRd","Calvin Harris, Rag'n'Bone Man","Giant (with Rag'n'Bone Man)","Columbia",14,121,192,"43644"
136,"spotify:track:41Rp0dMSgO2QeguHANPsCD","Koba LaD","Cellophané","Universal Music Division Capitol Music France",15,136,132,"43525"
137,"spotify:track:2U2N1Jky3VTWJkb5lRam16","Vladimir Cauchemar, Vald","Elévation","Universal Music Division Virgin Records",45,134,48,"43485"
138,"spotify:track:29fRTIKsJhLUJoldM89GZS","Taylor Swift","You Need To Calm Down","Taylor Swift",100,162,22,"43216"
139,"spotify:track:6vRCKJDtnrJEcyyzIMa0w0","Dennis Lloyd, Robin Schulz","Never Go Back - Robin Schulz Remix","Arista Records",139,192,6,"42825"
140,"spotify:track:6FqNHDHEsUTKqVWXBkMd9y","Koba LaD","Train de vie","Universal Music Division Capitol Music France",3,141,398,"42686"
141,"spotify:track:5FJUbcs6V1sMuDNw0GM2NQ","Nekfeu","Voyage léger","Universal Music Division Polydor",5,137,56,"42624"
142,"spotify:track:6nIr35G9lVYMcuedV4NY2t","Ninho, Dadju","Jamais (feat. Dadju)","Rec. 118 / Mal Luné Music",10,138,131,"42605"
143,"spotify:track:1Bhm5HNO1cq8olDbBmokyL","Aya Nakamura","Copines","Rec. 118",1,142,342,"42473"
144,"spotify:track:0br27hgKNVMLyXKS3qjLOu","Larry","Gaz","GOTHVM Records",120,135,7,"42253"
145,"spotify:track:1NUC8l1gq50VuHzmWRMA2G","Ninho, Faouzia","Money (feat. Faouzia)","Rec. 118 / Mal Luné Music",14,143,131,"42172"
146,"spotify:track:1kBbgxAUc4HQv7cgIayIDH","Lil Tecca","Ransom","Republic Records",146,153,3,"41888"
147,"spotify:track:1m0UFnuTktOkksvjbF9z0m","Vegedream","Ramenez la coupe à la maison","Universal Music Division Island Def Jam",1,157,379,"41164"
148,"spotify:track:78iwevM29hXavHtX1sQekL","Bigflo & Oli","Sur la lune","Universal Music Division Polydor",48,151,111,"40893"
149,"spotify:track:0DiDStADDVh3SvAsoJAFMk","Jonas Brothers","Only Human","Jonas Brothers Recording",76,155,14,"40759"
150,"spotify:track:52iVuTAP70Gy1Uy9xkr2No","PLK","Monégasque","Panenka Music",22,156,268,"40718"
151,"spotify:track:7sKDftgGirHWTVFMtJoDoh","Aya Nakamura","Djadja","Rec. 118",1,149,481,"40356"
152,"spotify:track:1j80giaNMxcv21p4F0282W","Gavin James, Philippine","Always","GS AllPoints",61,163,107,"40060"
153,"spotify:track:3Q35CdXXoyb2AxDghgadZZ","Nekfeu","Premier pas","Universal Music Division Polydor",11,145,56,"39965"
